Airline,Country/Region,200,200ER,200LR,300,300ER,Freighter
Emirates,United Arab Emirates,3,6,10,12,124,
Cathay Pacific,Hong Kong,5,,,17,48,
Qatar Airways,Qatar,,,9,,48,
Air France,France,,21,,,43,2
Saudia,Saudi Arabia,,23,,,35,4
EVA Air,Taiwan,,,,,34,6
Turkish Airlines,Turkey,,,,,33,8
Air China,China,10,,,,28,
Korean Air,South Korea,,12,,4,26,12
Singapore Airlines,Singapore,7,3,,2,26,
Aeroflot,Russia,,2,,,22,
United Airlines,United States,19,55,,,22,
American Airlines,United States,,47,,,20,
China Eastern Airlines,China,,,,,20,
Air Canada,Canada,,,6,,19,
Etihad Airways,United Arab Emirates,,,5,,19,5
British Airways,United Kingdom,5,43,,,16,
KLM,Netherlands,,15,,,16,
Air India,India,1,3,3,,15,
All Nippon Airways,Japan,3,10,,5,15,2
China Southern Airlines,China,4,6,,,15,14
Thai Airways International,Thailand,8,6,,6,14,2
Japan Airlines,Japan,15,7,,7,13,
Swiss International Air Lines,Switzerland,,,,,12,
China Airlines,Taiwan,,,,,10,3
Garuda Indonesia,Indonesia,2,,,,10,
Kuwait Airways,Kuwait,,2,,,10,
LATAM Brasil,Brazil,,,,,10,
Philippine Airlines,Philippines,,,,,10,
TAM Airlines,Brazil,,,,,10,
Air New Zealand,New Zealand,,8,,,7,
Azur Air,Russia,,,,,7,
EgyptAir,Egypt,,2,,,6,
Jet Airways,India,,,,,6,
Nordwind Airlines,Russia,,6,,,6,
Rossiya Airlines,Russia,,2,,5,5,
TAAG Angola Airlines,Angola,,3,,,5,
V Australia,Australia,,,,,5,
Virgin Australia,Australia,,,,,5,
Biman Bangladesh Airlines,Bangladesh,2,3,,,4,
Ethiopian Airlines,Ethiopia,,,6,,4,9
Gulf Air,Bahrain,,,,,4,
Pakistan International Airlines,Pakistan,,6,2,,4,
Air Austral,Reunion,,3,1,,3,
Kenya Airways,Kenya,,4,,,3,
Royal Flight,Russia,,,,,3,
Kalitta Air,United States,,,,,2,5
Alitalia,Italy,,11,,,1,
Azur Air Ukraine,Ukraine,,,,,1,
Indonesia Government,Indonesia,,,,,1,
VIM Airlines,Russia,,12,,1,1,
AeroLogic,Germany,,,,,,20
Aeromexico,Mexico,,4,,,,
Air Algerie,Algeria,2,,,,,
Air Europe,Italy,2,,,,,
Air Madagascar,Madagascar,,1,,,,
Air Peace,Nigeria,,1,,2,,
Air Zimbabwe,Zimbabwe,,2,,,,
AirBridgeCargo,Russia,,,,,,1
Albatros Airlines,Venezuela,,3,,,,
Alexandria Airlines,Egypt,,,,1,,
AlisCargo Airines,Italy,,2,,,,
Asiana Airlines,South Korea,,9,,,,
ASL Airlines Belgium,Belgium,,,,,,5
Austrian Airlines,Austria,,6,,,,
Azerbaijan Airlines,Azerbaijan,,,1,,,
CEIBA Intercontinental,Equatorial Guinea,,,2,,,
China Cargo Airlines,China,,,,,,8
Crystal Luxury Air,United States,,,1,,,
Continental Airlines,United States,,22,,,,
Delta Air Lines,United States,,8,10,,,
"Eastern Airlines, LLC",United States,,3,,,,35
El Al,Israel,,6,,,,
Emirates SkyCargo,United Arab Emirates,,,,,,11
EuroAtlantic Airways,Portugal,,1,,,,
FedEx Express,United States,,,,,,51
FlyGlobal,Malaysia,,2,,2,,
Pegas Fly,Russia,,2,,,,
IrAero,Russia,,3,,,,
Iraqi Airways,Iraq,,,1,,,
Japan Air System,Japan,7,,,,,
Japan Airlines Domestic,Japan,7,,,,,
Jin Air[23],South Korea,,4,,,,
Khalifa Airways,Algeria,2,,,,,
Lauda Air,Latvia,,2,,,,
LAN Cargo,Chile,,,,,,3
LANCO,Colombia,,,,,,1
LATAM Cargo Chile,Chile,,,,,,2
LATAM Cargo Colombia,Colombia,,,,,,1
Lufthansa Cargo,Germany,,,,,,11
Malaysia Airlines,Malaysia,,17,,,,
Med-View Airlines,Nigeria,,1,,,,
Mid East Jet,Saudi Arabia,,1,,,,
NokScoot,Thailand,,7,,,,
Omni Air International,United States,,3,,,,
Orenair,Russia,,3,,,,
Privilege Style,Spain,,2,,,,
Qatar Airways Cargo,Qatar,,,,,,26
Red Wings Airlines,Russia,,3,,,,
Royal Brunei Airlines,Brunei,,6,,,,
Saudi Oger,Saudi Arabia,,1,,,,
Scoot,Singapore,,6,,,,
Southern Air,United States,,,,,,9
Surinam Airways,Suriname,,1[24],,,,
TNT Airways,Belgium,,,,,,5
Transaero,Russia,2,7,,5,,
Turkmenistan Airlines,Turkmenistan,,,4,,,
Ukraine International Airlines,Ukraine,,1,,,,
Varig,Brazil,4,4,,,,
Vietnam Airlines,Vietnam,,10,,,,
Zimbabwe Airways,Zimbabwe,,1,,,,
